track_id,album_id,album_title,album_url,artist_id,artist_name,artist_url,track_date_created,track_duration,track_listens,track_title,track_url
56312,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:16 AM,05:34,2103,Straight 2 the Point,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/01_Straight_2_the_Point
56313,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:18 AM,04:05,2188,Fellow Friend,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/02_Fellow_Friend
56314,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:18 AM,05:52,2005,Play it Fair [Ground],http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/03_Play_it_Fair_Ground
56315,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:20 AM,05:30,2897,Clean it Up,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/04_Clean_it_Up
56316,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:24 AM,03:42,3378,Trick Style,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/05_Trick_Style
56317,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:25 AM,04:15,6746,Panic Attack,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/06_Panic_Attack
56318,10420,Got the Vibes - The Complete Collection,http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/,12261,The Courier,http://freemusicarchive.org/music/The_Courier/,11/14/2011 11:39:26 AM,04:46,4998,Any Excuse [Vibes Alive],http://freemusicarchive.org/music/The_Courier/Got_the_Vibes_-_The_Complete_Collection/07_Any_Excuse_Vibes_Alive
56442,10432,Live at Café OTO (Tusk Weekend),http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/,6692,Steve Gunn,http://freemusicarchive.org/music/Steve_Gunn/,11/15/2011 01:26:01 PM,06:46,3408,Mr Franklin,http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/Mr_Franklin
56443,10432,Live at Café OTO (Tusk Weekend),http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/,6692,Steve Gunn,http://freemusicarchive.org/music/Steve_Gunn/,11/15/2011 01:26:03 PM,09:15,3920,Old Strange,http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/Old_Strange
56444,10432,Live at Café OTO (Tusk Weekend),http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/,6692,Steve Gunn,http://freemusicarchive.org/music/Steve_Gunn/,11/15/2011 01:26:04 PM,15:41,10530,The Lurker,http://freemusicarchive.org/music/Steve_Gunn/Live_at_Caf_OTO_Tusk_Weekend/The_Lurker
56446,10434,Leïla Day,http://freemusicarchive.org/music/Audio_K/none_given_1240/,9564,Audio K,http://freemusicarchive.org/music/Audio_K/,11/16/2011 06:57:57 AM,04:22,237,1 10.11.2011,http://freemusicarchive.org/music/Audio_K/none_given_1240/01_1_10112011_1
56447,10434,Leïla Day,http://freemusicarchive.org/music/Audio_K/none_given_1240/,9564,Audio K,http://freemusicarchive.org/music/Audio_K/,11/16/2011 06:58:07 AM,05:07,150,2 10.11.2011,http://freemusicarchive.org/music/Audio_K/none_given_1240/02_2_10112011_1
56448,10434,Leïla Day,http://freemusicarchive.org/music/Audio_K/none_given_1240/,9564,Audio K,http://freemusicarchive.org/music/Audio_K/,11/16/2011 06:58:08 AM,04:55,119,3 10.11.2011,http://freemusicarchive.org/music/Audio_K/none_given_1240/03_3_10112011_1
56449,10434,Leïla Day,http://freemusicarchive.org/music/Audio_K/none_given_1240/,9564,Audio K,http://freemusicarchive.org/music/Audio_K/,11/16/2011 06:58:08 AM,05:53,105,4 10.11.2011,http://freemusicarchive.org/music/Audio_K/none_given_1240/04_4_10112011_1
56450,10434,Leïla Day,http://freemusicarchive.org/music/Audio_K/none_given_1240/,9564,Audio K,http://freemusicarchive.org/music/Audio_K/,11/16/2011 06:58:10 AM,05:45,96,5 10.11.2011,http://freemusicarchive.org/music/Audio_K/none_given_1240/05_5_10112011_1
